,log_return,vol_5d,vol_20d,vol_60d,log_vol_5d,log_vol_20d,log_vol_60d,vol_ratio_5_20,vol_ratio_5_60,sma_gap_20d,sma_gap_60d,sma_gap_200d,rsi_14,macd_pct,macd_hist,M2_YOY,NFCI,YIELD_SPREAD,CPI_YOY,DEBT_EQUITY,LOAN_DEPOSIT,YIELD_SPREAD_diff,DEBT_EQUITY_diff,regime_label,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime_prob_4,close
1999-10-18,0.007231592617618247,0.01514248718705487,0.013776643255124918,0.012048959795688008,-4.190250765267372,-4.2847806384899,-4.418776946780898,1.0991419975560344,1.256746428224779,-0.028698138921256056,-0.04716837710767974,-0.037215305183409875,37.40072823963011,-0.009682172216681734,-0.003544359881883087,6.576528356333333,-0.085,0.97,2.5609756097561,36.97,0.9935896509542266,,,2,0.0,4.795274202782615e-31,1.0,0.0,0.0,78.82552337646484
1999-10-19,0.009642267331411495,0.01770115551967283,0.013345488474459561,0.012101716324647308,-4.0341253579359,-4.316576893239188,-4.41440799142632,1.3263774910561792,1.4626979384421086,-0.0178652773299387,-0.03704026158199292,-0.028072202047172423,41.34047513838626,-0.010179874297897908,-0.0032807679831412103,6.576528356333333,-0.085,1.03,2.5609756097561,36.97,0.9935896509542266,0.06000000000000005,0.0,2,5.471210404738131e-08,9.028037220919943e-05,0.9999096498540975,1.5053027298846804e-08,9.04354545947558e-12,79.5892562866211
1999-10-20,0.009795023388994972,0.015115785577141385,0.013581041735634455,0.012122397709017864,-4.192015678754186,-4.29908044877499,-4.412700487129845,1.1130063415886582,1.2469303466175456,-0.0072923722166937655,-0.026670753149578896,-0.018686916633953943,45.153583104561214,-0.009646434169698409,-0.00225165990552313,6.576528356333333,-0.087,1.04,2.5609756097561,36.97,0.9935896509542266,0.010000000000000009,0.0,2,1.0132041076109746e-07,0.00013708996253027436,0.999862753240921,5.5316912811973086e-08,1.5965266637117984e-10,80.37266540527344
1999-10-21,0.005830270734959147,0.015324128596209718,0.01278069846092844,0.012142190731732888,-4.178326660361553,-4.3598191788713425,-4.411069053969261,1.199005566327751,1.2620563236715616,-0.0019222656129702642,-0.02012051640234125,-0.013047413981533529,47.364044180200196,-0.00867910593305862,-0.0010618558135769493,6.576528356333333,-0.087,1.06,2.5609756097561,36.97,0.9935896509542266,0.020000000000000018,0.0,2,1.915235027477845e-07,0.0001683367053998803,0.9998312705057398,2.0060328254891986e-07,6.613191028139687e-10,80.8426284790039
1999-10-22,0.008443234397869221,0.0016760193517074164,0.012898838643315664,0.012074845198693016,-6.391333730624098,-4.350617999317191,-4.416630899509693,0.12993567855629778,0.13880255391504556,0.0056286236892340025,-0.011319615770216562,-0.004843637381832688,50.497792486183144,-0.007129420012501598,0.0003390293010202706,6.576528356333333,-0.087,1.14,2.5609756097561,36.97,0.9895171299481339,0.07999999999999985,0.0,2,8.069143637305501e-08,0.00014637821347637824,0.9998534633978549,7.63328680248438e-08,1.3646065993742013e-09,81.52809143066406
1999-10-25,-0.005057381261038584,0.00623637591239287,0.01289196314648478,0.01198908858842653,-5.077356048591107,-4.351151173667473,-4.4237583271416625,0.4837413698388773,0.5201709760000484,0.00022942783191726157,-0.015940711521477358,-0.00996745991553516,48.6271269589971,-0.006325532104962763,0.0009446269408306691,6.576528356333333,-0.087,1.08,2.5609756097561,36.97,0.9895171299481339,-0.05999999999999983,0.0,2,9.180930232522687e-08,0.00012764117108082947,0.9998721954220693,7.079616701994367e-08,8.016221735785059e-10,81.11681365966797
1999-10-26,-0.012633569809674302,0.009724611041806235,0.013208748292722684,0.012087025346342633,-4.633095385978635,-4.3268759194625535,-4.415622687114989,0.7362250249831755,0.804549569737501,-0.012124801315407163,-0.027693926518096657,-0.022483189432443207,44.25555622138031,-0.006680634987767176,0.0005455638042499997,6.0486658371353474,-0.087,1.09,2.5609756097561,36.97,0.9895171299481339,0.010000000000000009,0.0,2,1.629766701605723e-07,0.00011650018980128564,0.9998832628884062,7.335202176013124e-08,5.92629034874149e-10,80.09846496582031
1999-10-27,0.01793132906322071,0.011935937924960307,0.01349473511436788,0.012308703681477767,-4.428201436191066,-4.305455661132532,-4.397448650465886,0.8844884930162195,0.9697152709039213,0.004463042223572078,-0.00985833452368201,-0.005059279834515151,51.005916338464864,-0.005280841356396878,0.0014535495228352588,6.0486658371353474,-0.096,1.05,2.5609756097561,36.97,0.9895171299481339,-0.040000000000000036,0.0,2,3.708069302085244e-07,0.00012960536958370793,0.9998697896569615,1.246039174160658e-07,1.0956205729691808e-07,81.54769134521484
1999-10-28,0.033533120042233314,0.01834410396241659,0.015026943978463369,0.01292702141911151,-3.998447066062709,-4.1979104240041005,-4.3484354747534475,1.2207474779108367,1.4190510998377694,0.03639188620500211,0.023348543238572717,0.02839019055833436,60.81234170285535,-0.0014472577208847516,0.004052041889177481,6.0486658371353474,-0.096,1.01,2.5609756097561,36.97,0.9895171299481339,-0.040000000000000036,0.0,2,1.2876081324140306e-06,0.00019793195101414071,0.99953806870446,3.45428710144714e-07,0.00026236630726812445,84.32860565185547
1999-10-29,0.01795214517285191,0.018830546834565507,0.015387391897139231,0.013076548779738116,-3.972274896131161,-4.174206812864936,-4.336934822528959,1.2237646873780095,1.4400242106497634,0.05171010655952912,0.041152308162007545,0.04634790400436195,64.96103043984579,0.0028300624981917443,0.006585215008023223,6.0486658371353474,-0.096,0.9,2.5609756097561,36.97,0.9928081115853301,-0.10999999999999999,0.0,2,3.6956563098140976e-06,0.00023097549691095573,0.9959831448366547,4.4847304252891407e-07,0.0037817355372261143,85.85615539550781
1999-11-01,-0.01054805571202657,0.020072470676915723,0.015289331423068977,0.013070352923428357,-3.9084060207651037,-4.180599986415181,-4.337408749152929,1.3128416227952133,1.5357252244456387,0.03875606452342106,0.029503705832928162,0.03488645759128617,60.868438838026286,0.0053479091824106895,0.007314304710782915,6.0486658371353474,-0.096,0.9,2.5609756097561,36.97,0.9928081115853301,0.0,0.0,2,4.686079343589981e-06,0.00012771234200158673,0.9873208756152643,8.969408264095738e-07,0.012545829022184523,84.9552993774414
1999-11-02,-0.007172055188186817,0.018684731696238105,0.01541115479156413,0.013104893641832042,-3.980048575460705,-4.172663694653519,-4.334769558086169,1.2124160680331295,1.425782780609123,0.029766883817296197,0.021517389093363093,0.02708166709784554,58.206934569905336,0.006714022508885973,0.006955657463783382,6.0486658371353474,-0.096,0.9,2.5609756097561,36.97,0.9928081115853301,0.0,0.0,2,7.363196911636041e-06,1.994864718903956e-05,0.9454043041985929,2.331879907413581e-06,0.05456605207743839,84.34817504882812
1999-11-03,0.006710621434299426,0.01821279952763601,0.015128425925486438,0.013036437037887216,-4.005630661329147,-4.1911797932439985,-4.340006993109505,1.2038793472196874,1.3970688060476157,0.03556154075958773,0.027459035293087686,0.03358906580222154,59.970216397113575,0.008159846154552886,0.006719892013838968,6.0486658371353474,-0.112,0.89,2.5609756097561,36.97,0.9928081115853301,-0.010000000000000009,0.0,2,2.027324326746393e-05,8.446895239309609e-07,0.727037614799271,3.467982878245378e-06,0.27293779928444883,84.91610717773438
1999-11-04,0.007581614133869418,0.011675849019035142,0.01510775012425426,0.012984068469882638,-4.450232756954728,-4.192547413568791,-4.3440321753793585,0.7728383725575736,0.8992442581551389,0.04158934636327749,0.03440541914953443,0.04087168087132764,61.93808245298052,0.00976757003402335,0.006670793431563633,6.0486658371353474,-0.112,0.85,2.5609756097561,36.97,0.9928081115853301,-0.040000000000000036,0.0,4,8.702485904764632e-05,5.312837730157585e-09,0.0890137285104898,4.0271782641359533e-07,0.9108988386002248,85.5623550415039
1999-11-05,0.009794028928290606,0.009394554116105996,0.014908242497670829,0.01303382958158213,-4.6676251069442865,-4.205841031219527,-4.3402070260705665,0.6301583917469643,0.720782334716212,0.0502383921068994,0.04351889035970902,0.05046263281832264,64.39442247183945,0.011634775117198246,0.006854544313613531,6.0486658371353474,-0.112,0.78,2.5609756097561,36.97,0.9936841541953473,-0.06999999999999995,0.0,4,1.0921222366868428e-05,3.568992176783668e-10,0.00471956116450536,1.6557128545613188e-08,0.995269500699565,86.40447235107422
1999-11-08,0.0009059746799394225,0.006840754523915929,0.014891184687020444,0.012712828984707611,-4.9848572429174105,-4.206985872857438,-4.36514363910592,0.4593828273366668,0.5380985248951858,0.049454135759862794,0.043777735999077416,0.05080611153106562,64.623076574286,0.013100110022286391,0.006659366420466552,6.0486658371353474,-0.112,0.75,2.5609756097561,36.97,0.9936841541953473,-0.030000000000000027,0.0,4,7.602302107151588e-07,1.0106255952786361e-10,0.0007503306904335326,5.632205039046496e-09,0.999248903346624,86.4827880859375
1999-11-09,-0.009441481092429812,0.007746506559406912,0.014580212531449177,0.012768687741358375,-4.860513303770794,-4.2280899755909145,-4.360759375270562,0.5313027188525461,0.6066799279863048,0.03757656560522382,0.03353560163853486,0.04046909617683925,60.295890560520725,0.013484219811762796,0.005585902461146902,6.0486658371353474,-0.112,0.78,2.5609756097561,36.97,0.9936841541953473,0.030000000000000027,0.0,4,4.625547335187561e-08,3.656597619429314e-11,0.00031194295659468265,3.246061170884406e-09,0.999688007505018,85.67010498046875
1999-11-10,0.007401904704742377,0.007832522624430866,0.013021119641502753,0.01277633536597798,-4.849470646609592,-4.341182651927958,-4.360160618728753,0.6015245109541842,0.6130492351733376,0.04151779895861263,0.04075880964186829,0.04763503945123326,62.41834497543693,0.014022608462960627,0.004946030296231994,6.0486658371353474,-0.129,0.8,2.5609756097561,36.97,0.9936841541953473,0.020000000000000018,0.0,4,3.963333853841595e-09,2.2043750829312786e-11,0.0002386469882777818,1.910063132733664e-09,0.9997613471154496,86.30657958984375
1999-11-11,0.005656520049713257,0.007610433208606355,0.012996601219810807,0.012753836433036379,-4.8782351824992976,-4.343067400333144,-4.361923155929302,0.5855710335257283,0.5967171720105318,0.043345016353574906,0.045974983359688526,0.053062978671780225,64.01197196200681,0.014731476266772668,0.004564876009391431,6.0486658371353474,-0.129,0.8,2.5609756097561,36.97,0.9936841541953473,0.0,0.0,4,9.695586848335236e-10,1.719374238165706e-11,0.0002665754721456023,9.744927167559134e-10,0.9997334225668346,86.79615783691406
1999-11-12,0.00898518643986283,0.007432808420611003,0.010967143677862742,0.012744698998935048,-4.901851507738905,-4.512851414363216,-4.362639858621254,0.6777342067300696,0.5832078436087107,0.04689633477067212,0.054412278851582174,0.06203695213492133,66.46262892295948,0.015758710001543576,0.00454643950106951,6.0486658371353474,-0.129,0.7,2.5609756097561,36.97,0.9947572694278566,-0.10000000000000009,0.0,4,4.732007356971734e-10,2.0206640916962095e-11,0.0004246728024855455,6.253162819021591e-10,0.9995753260785999,87.57955169677734
1999-11-15,0.0023449674714920024,0.0073735215497315884,0.010983937440921148,0.012689469769686549,-4.90985986468562,-4.511321306005998,-4.366982781447421,0.6713003956360135,0.5810740467143827,0.043764766218522544,0.056018213822107255,0.0639556551658107,67.09595465219527,0.016635403803796443,0.0043595159276697895,6.0486658371353474,-0.129,0.65,2.5609756097561,36.97,0.9947572694278566,-0.04999999999999993,0.0,4,4.947689327272809e-10,3.5585913014805515e-11,0.000847850156631527,5.219109739255452e-10,0.999152148790386,87.78516387939453
